name,salary_from,salary_to,salary_currency,area_name,published_at
Программист 1С (удалённо),,150000.0,RUR,Нижний Новгород,2022-12-15T08:55:55+0300
Копирайтер / Редактор / Оператор обработки текста и ввода данных (удаленно),,80000.0,RUR,Ростов-на-Дону,2022-12-15T09:39:20+0300
Специалист по описанию бизнес-процессов,110000.0,110000.0,RUR,Москва,2022-12-15T09:32:27+0300
Инженер по эксплуатации машинно-тракторного парка,,50000.0,RUR,Лабинск,2022-12-15T09:22:24+0300
Старший системный администратор,170810.0,,RUR,Москва,2022-12-15T10:34:05+0300
Системотехник,51000.0,,RUR,Барнаул,2022-12-15T11:56:23+0300
Администратор проекта,,80000.0,RUR,Ижевск,2022-12-15T11:01:49+0300
Оператор станков с ЧПУ,80000.0,120000.0,RUR,Стерлитамак,2022-12-15T08:57:47+0300
Наладчик КИПиА,50000.0,,RUR,Рыбинск,2022-12-15T11:58:23+0300
Менеджер по анализу и планированию,36250.0,36250.0,RUR,Пермь,2022-12-15T07:08:49+0300
Механик,74000.0,74000.0,RUR,Новокузнецк,2022-12-15T10:30:28+0300
Слесарь по ремонту строительной и грузовой техники,60000.0,,RUR,Полотняный Завод,2022-12-15T09:02:32+0300
Младший программист 1С,40000.0,,RUR,Ижевск,2022-12-15T07:39:52+0300
Инженер по автоматизированным системам управления производством (помощник системного администратора),19000.0,20000.0,RUR,Оренбург,2022-12-15T08:43:30+0300
Линейный механик,350000.0,,KZT,Тараз,2022-12-15T11:13:15+0300
Начальник отдела эксплуатации оборудования и вычислительных сетей,50000.0,60000.0,RUR,Белая Калитва,2022-12-15T10:29:37+0300
Администратор проекта,,80000.0,RUR,Набережные Челны,2022-12-15T11:01:48+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000.0,,RUR,Сургут,2022-12-15T08:56:27+0300
Токарь,100000.0,,RUR,Воронеж,2022-12-15T10:00:44+0300
Инженер,20000.0,23000.0,RUR,Хоринск,2022-12-15T08:51:35+0300
"Расточник, Ижевск",120000.0,,RUR,Ижевск,2022-12-15T07:33:36+0300
Технический писатель,30000.0,50000.0,RUR,Тула,2022-12-15T09:22:49+0300
Оператор сверлильно-присадочного станка с ЧПУ,50000.0,,RUR,Обухово,2022-12-15T10:54:47+0300
Frontend разработчик (Vue.js),120000.0,200000.0,RUR,Новосибирск,2022-12-15T10:58:53+0300
Старший администратор по сопровождению информационных систем (банковские карты),64000.0,,RUR,Набережные Челны,2022-12-15T09:49:40+0300
Оператор-наладчик фрезерного станка с ЧПУ,75000.0,,RUR,Чапаевск,2022-12-15T10:10:25+0300
Инсталлятор,35000.0,,RUR,Бийск,2022-12-15T08:52:08+0300
"CPO (Директор по продукту, уровень C-level)",300000.0,,RUR,Москва,2022-12-15T08:09:25+0300
Мастер по обслуживанию абонентов,35000.0,,RUR,Темников,2022-12-15T08:10:02+0300
Менеджер проектов,24200.0,,RUR,Сызрань,2022-12-15T08:53:00+0300
Программист 1С,70000.0,160000.0,RUR,Екатеринбург,2022-12-15T10:28:26+0300
Автомеханик,35000.0,35000.0,RUR,Иркутск,2022-12-15T11:41:08+0300
Оператор станков с ПУ,60000.0,120000.0,RUR,Верхняя Пышма,2022-12-15T09:32:03+0300
Оператор станка с программный управлением (гибка металла),50000.0,,RUR,Ростов-на-Дону,2022-12-15T11:17:54+0300
Руководитель проектов,100000.0,,RUR,Екатеринбург,2022-12-15T08:32:54+0300
Руководитель проектов,75000.0,,RUR,Клин,2022-12-15T09:27:23+0300
Инженер по автоматизированным системам управления производством,30000.0,,RUR,Нижнекамск,2022-12-15T10:55:59+0300
Оператор станков с ЧПУ (фрезерная группа),60000.0,,RUR,Чебоксары,2022-12-15T11:53:39+0300
Инженер 1С,,35000.0,RUR,Санкт-Петербург,2022-12-15T11:09:34+0300
Специалист службы технической поддержки,25000.0,,RUR,Пермь,2022-12-15T09:57:40+0300
Оператор станков с ЧПУ (фрезерная ггруппа),95000.0,,RUR,Нижнекамск,2022-12-15T08:22:29+0300
Токарь на производство,90000.0,,RUR,Чебоксары,2022-12-15T08:22:16+0300
Инженер мониторинга СПД,55000.0,,RUR,Краснодар,2022-12-15T08:14:02+0300
Механик,70000.0,70000.0,RUR,Тында,2022-12-15T06:44:39+0300
Наладчик станков с ЧПУ,80000.0,120000.0,RUR,Обнинск,2022-12-15T08:56:50+0300
Слесарь по ремонту строительной и грузовой техники,60000.0,,RUR,Пятовский,2022-12-15T09:02:29+0300
Инженер-программист микроконтроллеров,30000.0,50000.0,RUR,Тула,2022-12-15T09:18:00+0300
Главный специалист-инженер (системный администратор),30000.0,40000.0,RUR,Ярославль,2022-12-15T10:44:01+0300
Электромеханик,,44000.0,RUR,Воронеж,2022-12-15T07:04:16+0300
Системотехник,60000.0,,RUR,Кемерово,2022-12-15T11:56:12+0300
Системный/Бизнес Аналитик (на территории РФ),200000.0,300000.0,RUR,Москва,2022-12-15T10:55:47+0300
Слесарь по ремонту строительной и грузовой техники,60000.0,,RUR,Жилетово,2022-12-15T09:02:52+0300
